Tier,Priority Bucket,Rank,Company,Focus,Role Family,SWE Fit (1-5),AI/ML Fit (1-5),Referral Likelihood (1-5),Comp Upside (1-5),Hiring Bar Realism (1-5),Weighted Priority Score,Resume Variant,Application Strategy,Status,Notes,Job URL,Date Found,Date Applied,Follow-up Date,Contact Name
Tier 1,A,1,Databricks,Data/AI infra,Backend/AI Infra,5,5,4,5,4,4.70,B,Custom apply + referral,Not Applied,,https://www.databricks.com/company/careers/open-positions,,,,
Tier 1,A,2,Microsoft (Azure AI / Foundry / Data / Copilot),Cloud + AI platform,Backend/AI Infra,5,5,5,4,5,4.85,B,Leverage intern network first,Not Applied,,https://careers.microsoft.com/students/us/en/,,,,
Tier 1,A,3,NVIDIA,AI infra / inference / systems,ML Systems,4,5,3,5,4,4.25,A,Custom apply + systems-heavy story,Not Applied,,https://www.nvidia.com/en-us/about-nvidia/careers/,,,,
Tier 1,B,4,Google DeepMind,Frontier AI / research engineering,AI Systems,4,5,2,5,2,3.85,A,Only role-specific apps,Not Applied,,https://deepmind.google/about/careers/,,,,
Tier 1,A,5,Google,Core ML / Gemini / Cloud / infra,Backend/AI Infra,5,5,3,5,3,4.40,B,Apply to Cloud/Gemini/platform teams,Applied,,https://careers.google.com/,,2026-04-25,2026-05-09,
Tier 1,A,6,Meta,GenAI / infra / ranking / backend,Backend/AI Infra,5,5,3,5,3,4.40,B,Apply to infra/GenAI/backend teams,Not Applied,,https://www.metacareers.com/,,,,
Tier 1,A,7,Anthropic,LLM platform / applied AI / infra,AI Systems,4,5,2,5,2,3.85,A,Best-shot package only,Applied,"2026-04-16 found: Full-Stack Software Engineer, Reinforcement Learning. Posting date 2026-04-14 (Greenhouse metadata). Current Greenhouse page shows Apply button; employment type not explicitly labeled on page/API, but this is a standard non-internship staff opening. | 2026-04-17 found: Software Engineer, Research Data Platform. Posting date 2026-04-16 (Greenhouse metadata). Current Greenhouse page shows Apply button; employment type not explicitly labeled on page/API, but this is a standard non-internship staff opening.",https://job-boards.greenhouse.io/anthropic/jobs/5191226008,2026-04-17,,,
Tier 1,A,8,OpenAI,Applied engineering / platform / infra,AI Systems,4,5,2,5,2,3.85,A,Best-shot package only,Not Applied,,https://openai.com/careers,,,,
Tier 1,A,9,Snowflake,Data platform / AI infra,Backend/Data Infra,5,4,3,5,4,4.25,B,Strong data/infra narrative,Not Applied,,https://careers.snowflake.com/,,,,
Tier 1,A,10,Stripe,Infra + product engineering,Backend/Platform,5,3,3,5,4,4.00,B,High-signal backend app,Not Applied,,https://stripe.com/jobs,,,,
Tier 1,A,11,Figure AI,Robotics + embodied AI systems,AI Systems,4,5,2,5,2,3.85,A,Custom role match only,Not Applied,,https://www.figure.ai/careers,,,,
Tier 1,A,12,Amazon (AWS AI / Bedrock / SageMaker / AGI),Cloud + AI infra,Backend/AI Infra,5,5,3,4,4,4.25,B,Focus on Bedrock/SageMaker/AWS AI,Not Applied,,https://www.amazon.jobs/en/teams/aws,,,,
Tier 1,B,13,Apple (ML Platform / Siri / AI infra),Consumer AI systems,Platform/AI Infra,4,4,2,5,3,3.75,A,Target exact teams only,Not Applied,,https://jobs.apple.com/,,,,
Tier 1,A,14,Cloudflare,Edge infra / developer platform / AI,Backend/Infra,5,4,3,4,4,4.10,B,Strong edge + infra fit,Not Applied,,https://www.cloudflare.com/careers/jobs/,,,,
Tier 1,B,15,Palantir,Data/AI platform,Backend/Platform,5,4,3,4,4,4.10,B,Platform story over generic SWE,Watching,"2026-04-20 found: Senior Backend Software Engineer - Infrastructure. Posting date 2026-04-06 (Lever metadata). Live Lever page shows Full-time / Hybrid and Apply link. | 2026-04-29 found: Edge Infrastructure Engineer. Posting date 2026-04-29 (Lever ATS metadata createdAt=2026-04-29T08:47:29.746Z). Live Lever page shows London, United Kingdom / Business Development / Full-Time / Hybrid and Apply link. | 2026-05-03 found: Edge Infrastructure Engineer (Warsaw, Poland). Posting date 2026-05-01 (Lever ATS metadata createdAt=2026-05-01T09:11:21.817Z). Employment type: Full-time (Lever metadata); live Lever page shows Warsaw, Poland / Business Development / Full-Time / Hybrid with Apply link. Infrastructure/Kubernetes/distributed systems role. | 2026-05-06 found: Forward Deployed Infrastructure Engineer - US Government. Posting date 2026-05-04 (Lever ATS metadata createdAt=2026-05-04T21:46:12.356Z). Employment type: Full-time (Lever metadata); live Lever page shows Honolulu, HI / Delta / Full-Time / Hybrid with Apply link. Infrastructure role focused on scalable/reliable services, production operations, automation, and distributed systems; note active Top Secret clearance requirement. | 2026-05-12 found: Forward Deployed Software Engineer - US Government - Federal Health and Civilian (Washington, D.C.). Posting date 2026-05-07 (Lever ATS metadata createdAt=2026-05-07T17:42:12.869Z). Employment type: Full-time (Lever metadata); live Lever page shows Washington, D.C. / Delta / Full-Time / Hybrid and APPLY link. Relevant full-stack/data/AI/cloud infrastructure role; note Top Secret clearance requirement or willingness to obtain/upgrade. | 2026-06-05 found: Software Engineer - Hosted Model Infrastructure (Washington, D.C.). Posting date 2026-06-03 (Lever ATS metadata createdAt=2026-06-03T19:38:40.161Z). Employment type: Full-time (Lever metadata); live Lever page shows Washington, D.C. / Dev / Full-Time / Hybrid and APPLY link. Relevant AI/ML infrastructure role focused on model serving, GPU scheduling, deployment pipelines, observability, Kubernetes, and production AI systems; clearance eligibility is beneficial but not necessary.",https://jobs.lever.co/palantir/7a9600be-cdcb-4311-bb5c-65b6939b5956,2026-06-05,,,
Tier 1,B,16,Hugging Face,OSS AI platform,AI Platform,4,5,2,3,3,3.65,A,Projects + OSS emphasis,Not Applied,,https://apply.workable.com/huggingface/,,,,
Tier 1,B,17,Cohere,Enterprise LLM platform,AI Platform,4,5,2,4,3,3.80,A,Retrieval/inference story,Not Applied,,https://cohere.com/careers,,,,
Tier 1,B,18,Mistral AI,Frontier model + platform,AI Platform,4,5,1,5,1,3.40,A,Very selective; custom only,Not Applied,,https://mistral.ai/en/careers/,,,,
Tier 1,B,19,Scale AI,Data + model deployment + agents,AI Platform,4,5,3,4,3,3.95,A,Applied AI systems story,Watching,"2026-04-19 found: Software Engineer, AI Developer Tooling. Posting date 2026-03-24 (Greenhouse metadata). Current Greenhouse page shows Apply button; page text explicitly says this is a full-time position. | 2026-05-17 found: Forward Deployed AI Engineer, Enterprise. Posting date 2026-05-15 (Greenhouse ATS metadata first_published=2026-05-15T19:50:50-04:00). Live Greenhouse page shows Apply button and page text says this is a full-time position. Relevant production AI systems role spanning customer integrations, AI agents, RAG/fine-tuning pipelines, cloud/data infrastructure, and product engineering.",https://job-boards.greenhouse.io/scaleai/jobs/4694861005,2026-05-17,,,
Tier 1,B,20,xAI,Frontier AI infra,AI Platform,4,5,1,5,1,3.40,A,Stretch target only,Not Applied,,https://x.ai/careers,,,,
Tier 1,B,21,Vercel,AI-native dev tools / infra,DevTools/Platform,4,4,3,4,4,3.90,C,Good devtools angle,Not Applied,,https://vercel.com/careers,,,,
Tier 1,B,22,Anysphere (Cursor),AI dev tools,DevTools/AI,4,5,2,5,2,3.85,C,Small-company custom outreach,Not Applied,,https://anysphere.inc/careers,,,,
Tier 1,B,23,MongoDB,Developer data platform,Backend/Data Infra,5,3,3,4,4,3.95,B,Strong database/platform fit,Watching,"2026-04-21 found: Software Engineer 3. Posting date 2026-04-10 (Greenhouse metadata). Employment Type: Full-time (Greenhouse metadata). Live MongoDB job page at https://www.mongodb.com/careers/jobs/7779598 loaded successfully and matches a distributed backend/Atlas Backup role. | 2026-04-22 verified current: Software Engineer 3. Posting date 2026-04-10 (Greenhouse metadata). Employment Type: Full-time (Greenhouse metadata). Live MongoDB page https://www.mongodb.com/careers/jobs/7779598 loaded successfully and still matches a distributed backend/Atlas Backup role. | 2026-04-25 found: Software Engineer 3 - Query Optimization. Posting date 2026-04-24 (Greenhouse metadata). Employment Type: Full-time (Greenhouse metadata). Live MongoDB job page loaded successfully at https://www.mongodb.com/careers/jobs/7816135 and matches a distributed database/query optimization backend role. | 2026-05-24 found: Senior Platform Engineer. Posting date 2026-05-22 (Greenhouse ATS metadata first_published=2026-05-22T09:37:42-04:00). Employment Type: Full-time (Greenhouse metadata). Current posting verified via live Greenhouse API and MongoDB careers URL returned HTTP 200/canonical title; browser render hit an upstream connection error. Infrastructure/platform role focused on internal developer platform, Go, AWS, Kubernetes, Crossplane, Terraform, Prometheus/Grafana, and distributed systems; note Gurugram hybrid location eligibility caveat.",https://www.mongodb.com/careers/jobs/7924987,2026-05-24,,,
Tier 1,B,24,Replicate,Model APIs / inference platform,AI Platform,4,5,2,4,3,3.80,A,Inference-platform story,Not Applied,,https://replicate.com/careers,,,,
Tier 1,B,25,Tesla (AI / Optimus / infra),AI systems / robotics infra,Systems/AI,4,4,2,4,2,3.40,A,Only if exact team match,Not Applied,,https://www.tesla.com/careers,,,,
Tier 2,B,1,Confluent,Streaming/data infra,Backend/Data Infra,5,3,3,4,4,3.95,B,High-priority Tier 2,Not Applied,,https://www.confluent.io/careers/,,,,
Tier 2,B,2,Datadog,Observability/platform,Backend/Infra,5,3,3,4,4,3.95,B,Great systems backup,Watching,"2026-04-15 found: Software Engineer II, Demo Engineering. Posting date 2026-04-15 (Greenhouse metadata). Full-time. | 2026-05-07 found: Senior Software Engineer - Bits AI SRE. Posting date 2026-05-06 (Greenhouse ATS metadata first_published). Employment type: Full time (Greenhouse metadata). Live Datadog page loaded successfully with matching role/location and production AI/SRE/backend content.",https://careers.datadoghq.com/detail/7899164/?gh_jid=7899164,2026-05-07,,,
Tier 2,A,3,Elastic,Search/retrieval/platform,Retrieval/Platform,5,4,3,4,4,4.20,A,Direct retrieval relevance,Not Applied,,https://www.elastic.co/about/careers,,,,
Tier 2,A,4,GitHub,Dev platform / Copilot,DevTools/AI,4,4,4,4,4,4.00,C,Use Microsoft adjacency,Not Applied,,https://www.github.careers/,,,,
Tier 2,B,5,GitLab,DevSecOps / AI dev tools,DevTools/Platform,4,4,3,4,4,3.85,C,Good devtools hedge,Watching,"2026-05-22 found: Senior AI Engineer. Posting date 2026-05-22 (Greenhouse ATS metadata first_published=2026-05-22T09:16:29-04:00). Live Greenhouse page loads with Apply button; page includes GitLab full-time employee benefits section. Remote, Bangalore role focused on AI-powered internal solutions, API/orchestration integrations, agentic architecture patterns, and practical LLM systems; note location eligibility caveat.",https://job-boards.greenhouse.io/gitlab/jobs/8556658002,2026-05-22,,,
Tier 2,A,6,LinkedIn,Data + AI + platform,Backend/Data Infra,5,4,4,4,4,4.35,B,Use Microsoft/LinkedIn adjacency,Not Applied,,https://careers.linkedin.com/,,,,
Tier 2,B,7,Oracle Cloud Infrastructure,Cloud/infra,Backend/Infra,5,3,3,4,4,3.95,B,Cloud platform fit,Not Applied,,https://careers.oracle.com/jobs/,,,,
Tier 2,A,8,Redis,Data infrastructure,Backend/Data Infra,5,4,2,4,4,4.05,B,Great caching/vector systems fit,Not Applied,,https://redis.io/careers/,,,,
Tier 2,A,9,Pinecone,Vector DB / retrieval infra,Retrieval/ML Infra,4,5,2,4,3,3.80,A,Target retrieval roles,Not Applied,,https://www.pinecone.io/careers/,,,,
Tier 2,A,10,Weaviate,Vector search / AI infra,Retrieval/ML Infra,4,5,2,3,3,3.65,A,Good startup retrieval target,Not Applied,,https://weaviate.io/company/careers,,,,
Tier 2,A,11,Modal,AI/cloud compute platform,AI Infra,4,5,2,4,3,3.80,A,Excellent infra story,Not Applied,,https://modal.com/careers,,,,
Tier 2,A,12,Glean,Enterprise AI / search,AI Product/Platform,4,5,2,4,3,3.80,A,Search + enterprise AI,Not Applied,,https://glean.com/careers,,,,
Tier 2,B,13,Perplexity,Search + applied AI,AI Product,4,5,2,4,2,3.65,A,Selective search-AI target,Not Applied,,https://www.perplexity.ai/hub/careers,,,,
Tier 2,B,14,Notion,AI product engineering,Product/AI,4,4,2,4,3,3.55,C,Applied AI product angle,Not Applied,,https://www.notion.so/careers,,,,
Tier 2,B,15,Figma,Product infra / AI,Platform/Product,4,3,2,4,4,3.50,C,Quality engineering backup,Not Applied,,https://www.figma.com/careers/,,,,
Tier 2,B,16,Dropbox,Backend/platform,Backend/Platform,5,3,2,4,4,3.80,B,Good stable systems target,Not Applied,,https://jobs.dropbox.com/,,,,
Tier 2,B,17,Box,Enterprise cloud/content AI,Backend/AI Product,4,4,2,3,4,3.55,B,Enterprise AI/cloud mix,Not Applied,,https://www.box.com/en-us/careers,,,,
Tier 2,B,18,Twilio / Segment,APIs + platform data,Backend/APIs,5,3,2,3,4,3.65,B,API platform fit,Not Applied,,https://careers.twilio.com/,,,,
Tier 2,B,19,Shopify,Infra + ML product,Backend/Product,4,4,2,4,4,3.70,B,Strong overall product/backend fit,Not Applied,,https://www.shopify.com/careers,,,,
Tier 2,B,20,Uber,Marketplace infra / ML platform,Backend/ML Platform,5,4,2,4,3,3.95,B,High-quality infra target,Not Applied,,https://www.uber.com/us/en/careers/,,,,
Tier 2,B,21,Airbnb,Backend/platform,Backend/Platform,4,3,2,4,3,3.30,B,Selective but worthwhile,Not Applied,,https://careers.airbnb.com/,,,,
Tier 2,B,22,DoorDash,ML + backend infra,Backend/ML Platform,4,4,2,4,3,3.55,B,Good ML-platform crossover,Not Applied,,https://careers.doordash.com/,,,,
Tier 2,B,23,Samsara,IoT/cloud/data,Backend/Cloud,5,3,2,4,4,3.80,B,Good realism + systems fit,Not Applied,,https://www.samsara.com/company/careers,,,,
Tier 2,B,24,Roblox,Platform / ML infra,Platform/ML,4,4,2,4,3,3.55,B,Interesting scaled infra target,Watching,"2026-05-13 found: Senior Frontend Software Engineer - Marketplace. Posting date 2026-05-11 (Greenhouse ATS metadata); Time Type: Full Time. Current direct posting verified via Greenhouse API; live Roblox careers page had browser HTTP/2 errors. | 2026-05-16 found: [2026] Software Engineer, Game Developer. Posting date 2026-05-15 (Greenhouse ATS metadata first_published=2026-05-15T19:01:57-04:00). Employment type: Salaried Employee (Greenhouse metadata); page/API content says all full-time employees are eligible for benefits/equity. Current direct posting verified via Greenhouse API after Roblox careers page returned browser HTTP/2 errors. Platform/engine/devtools role focused on performance, scalability, engine roadmap/APIs, and debugging tooling.",https://careers.roblox.com/jobs/7557910?gh_jid=7557910,2026-05-16,,,
Tier 2,B,25,Discord,Realtime platform + AI,Backend/Realtime,4,3,2,4,3,3.30,B,Realtime systems backup,Watching,"2026-05-09 found: Software Engineer, Core Product. Posting date 2026-05-08 (Greenhouse ATS metadata first_published=2026-05-08T18:42:58-04:00). Live Greenhouse page shows Apply form and states US base salary range for this full-time position.",https://job-boards.greenhouse.io/discord/jobs/8520965002,2026-05-09,,,
Tier 2,C,26,Coder,Developer infrastructure,DevTools/Infra,4,3,2,3,4,3.35,C,Good devtools hedge,Not Applied,,https://coder.com/jobs,,,,
Tier 2,B,27,HashiCorp,Cloud infrastructure / devtools,Infra/DevTools,5,2,2,4,4,3.50,C,Great infrastructure fallback,Not Applied,,https://www.hashicorp.com/careers,,,,
Tier 2,B,28,Cockroach Labs,Distributed databases,Backend/Data Infra,5,3,2,4,3,3.65,B,Excellent distributed-systems fit,Not Applied,,https://www.cockroachlabs.com/careers/,,,,
Tier 2,B,29,PlanetScale,Databases / developer infra,Backend/Data Infra,4,3,2,4,3,3.35,C,Nice DB/devtools combo,Not Applied,,https://planetscale.com/careers,,,,
Tier 2,B,30,Neon,Serverless Postgres / AI dev infra,Backend/Data Infra,4,4,2,4,3,3.55,C,DB infra + AI app angle,Not Applied,,https://neon.tech/careers,,,,
Tier 2,C,31,SingleStore,Data infra / HTAP,Backend/Data Infra,5,3,2,4,4,3.80,B,Strong data systems backup,Not Applied,,https://www.singlestore.com/careers/,,,,
Tier 2,C,32,Snowplow,Data pipelines / analytics infra,Backend/Data Infra,4,3,2,3,4,3.20,B,Lower priority data infra hedge,Not Applied,,https://snowplow.io/jobs/,,,,
Tier 2,B,33,Cerebras,AI compute systems,AI Systems,4,5,2,4,2,3.65,A,Compelling AI systems target,Not Applied,,https://cerebras.ai/careers/,,,,
Tier 2,B,34,Together AI,Model platform / inference,AI Platform,4,5,2,4,2,3.65,A,Good inference startup target,Not Applied,,https://www.together.ai/careers,,,,
Tier 2,C,35,Runway,Applied multimodal AI,AI Product,3,5,1,4,2,3.10,A,Apply only if strong project match,Not Applied,,https://runwayml.com/careers/,,,,
Tier 2,C,36,Waymo,AV / ML systems,ML Systems,4,4,1,4,2,3.25,A,Selective systems role only,Watching,"2026-04-23 found: Machine Learning Engineer (Infra), Driver Understanding and Evaluation. Posting date 2026-04-17 (Greenhouse metadata). Live Waymo job page header shows Full-Time and Apply now link.",https://careers.withwaymo.com/jobs/machine-learning-engineer-infra-driver-understanding-and-evaluation-mountain-view-california-united-states?gh_jid=7819946,2026-04-23,,,
Tier 3,C,1,Adobe,Product/platform + AI,Platform/Product,4,4,2,4,4,3.70,B,Strong backup,Not Applied,,https://careers.adobe.com/,,,,
Tier 3,C,2,Atlassian,Developer/product infra,DevTools/Platform,4,3,2,4,4,3.45,C,Good devtools hedge,Not Applied,,https://www.atlassian.com/company/careers,,,,
Tier 3,C,3,ServiceNow,Enterprise platform + AI,Platform/AI,4,4,2,4,4,3.70,B,Solid AI-enterprise backup,Not Applied,,https://careers.servicenow.com/,,,,
Tier 3,C,4,Cisco / Splunk,Infra observability security,Backend/Infra,5,3,2,3,4,3.65,B,Infra-heavy backup,Not Applied,,https://jobs.cisco.com/,,,,
Tier 3,C,5,Okta,Identity platform,Backend/Infra,5,2,2,4,4,3.50,B,Great backend hedge,Not Applied,,https://www.okta.com/company/careers/,,,,
Tier 3,C,6,VMware / Broadcom,Cloud infra / platform,Backend/Infra,5,2,2,4,3,3.35,B,Pragmatic infra backup,Not Applied,,https://careers.broadcom.com/,,,,
Tier 3,C,7,AMD,Compute systems / AI hardware software,Systems/AI,4,4,2,4,3,3.55,A,Alternative to NVIDIA,Not Applied,,https://careers.amd.com/,,,,
Tier 3,C,8,Qualcomm,Edge AI / systems,Systems/AI,4,4,1,4,3,3.40,A,On-device inference angle,Not Applied,,https://careers.qualcomm.com/,,,,
Tier 3,C,9,Intel,Systems / compilers / AI,Systems,4,3,1,4,3,3.15,A,Systems backup,Not Applied,,https://jobs.intel.com/,,,,
Tier 3,C,10,IBM Research / watsonx,Enterprise AI platform,AI Platform,4,4,2,3,3,3.35,A,Relevant AI platform hedge,Not Applied,,https://www.ibm.com/employment/,,,,
Tier 3,C,11,Salesforce,Platform + AI cloud,Platform/AI,4,4,2,4,3,3.55,B,Good enterprise AI target,Not Applied,,https://careers.salesforce.com/,,,,
Tier 3,C,12,SAP,Enterprise platform/data,Backend/Data,4,3,1,3,4,3.00,B,Practical backup,Not Applied,,https://jobs.sap.com/,,,,
Tier 3,C,13,HubSpot,Product/backend,Backend/Product,4,3,2,3,4,3.15,B,Realistic quality backup,Not Applied,,https://www.hubspot.com/careers,,,,
Tier 3,C,14,Expedia,Backend/data platform,Backend/Data,4,3,1,3,4,3.00,B,Role-volume hedge,Not Applied,,https://careers.expedia.com/,,,,
Tier 3,C,15,Bloomberg,Data systems / infra,Backend/Infra,5,2,1,4,4,3.35,B,Strong engineering rigor,Not Applied,,https://careers.bloomberg.com/,,,,
Tier 3,C,16,Capital One,Data/ML platform,Backend/ML Platform,4,3,2,3,5,3.35,B,High realism,Not Applied,,https://www.capitalonecareers.com/,,,,
Tier 3,C,17,JPMorgan AI / platform orgs,Enterprise ML/platform,Backend/ML Platform,4,3,1,4,4,3.20,B,Good hedge,Not Applied,,https://careers.jpmorgan.com/,,,,
Tier 3,C,18,Goldman Sachs,Systems/data,Backend/Data,4,2,1,4,3,2.95,B,Comp fallback,Not Applied,,https://www.goldmansachs.com/careers/,,,,
Tier 3,C,19,Robinhood,Backend/data platform,Backend/Data,4,3,1,4,3,3.10,B,Interesting backup,Not Applied,,https://careers.robinhood.com/,,,,
Tier 3,C,20,Coinbase,Backend/platform,Backend/Platform,4,3,1,4,3,3.10,B,Another viable backup,Not Applied,,https://www.coinbase.com/careers/,,,,
Tier 3,C,21,Block / Square,Product infra + ML,Backend/Product,4,3,1,4,3,3.10,B,Strong engineering backup,Not Applied,,https://careers.block.xyz/,,,,
Tier 3,C,22,Zoom,Realtime/cloud + AI,Backend/Realtime,4,3,1,3,4,3.00,B,Practical hedge,Not Applied,,https://careers.zoom.us/,,,,
Tier 3,C,23,Intuit,Data/platform,Backend/Data,4,3,2,3,4,3.15,B,Realistic broad backup,Not Applied,,https://careers.intuit.com/,,,,
Tier 3,C,24,Red Hat,Platform/open-source infra,Infra/DevTools,5,2,2,3,4,3.35,C,OSS/devinfra hedge,Not Applied,,https://www.redhat.com/en/jobs,,,,
